size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
8857798	霞鹜新晰黑＋	ttf	*更多字体/霞鹜新晰黑 LXGWNeoXiHeiPlus.ttf	33305	29051	4253	6500	10668	6763	6866	21003	13391	5401	13060
12723688	霞鹜新致宋＋	ttf	*更多字体/霞鹜新致宋 LXGWNeoZhiSongPlus.ttf	33305	29051	4253	6500	10668	6763	6866	21003	13391	5401	13060
20140076	香萃刻宋 Xiangcui Kesong	ttf	*更多字体/香萃刻宋 Xiangcui Kesong.ttf	31205	28651	2554	6500	10662	6763	6866	21003	13373	5401	13060
7607696	卜力士	otf	*港台繁体/Blix-Regular.otf	36237	29625	1883	6500	10666	6763	6866	21000	13402	5401	13060
5460860	IBM Plex Sans TC	ttf	*港台繁体/IBMPlexSansTC-Regular.ttf	23646	17710	1207	4672	8199	4863	6795	15383	11739	5401	13060
6871876	LINE Seed TW_TTF Regular	ttf	*港台繁体/LINESeedTW_TTF_Rg.ttf	13918	13097	821	4265	7514	4404	6425	13096	10837	5401	13060
16519524	思源黑體 香港	otf	*港台繁体/SourceHanSansHC-Regular.otf	44853	30320	14533	6500	10666	6763	6866	21003	13424	5401	13060
16528276	Source Han Sans TC	otf	*港台繁体/SourceHanSansTC-Regular.otf	44853	30320	14533	6500	10666	6763	6866	21003	13424	5401	13060
24533964	思源宋體 香港	otf	*港台繁体/SourceHanSerifHC-Regular.otf	44779	30257	14522	6500	10666	6763	6866	21003	13419	5401	13060
24542148	Source Han Serif TC	otf	*港台繁体/SourceHanSerifTC-Regular.otf	44779	30257	14522	6500	10666	6763	6866	21003	13419	5401	13060
4911464	jf-openhuninn-2.1	ttf	*港台繁体/jf-openhuninn-2.1.ttf	11988	10196	1791	4486	7265	4671	6552	9893	8008	5354	8283
9308400	vivo Sans TC VF	ttf	*港台繁体/vivoSansTCVF.ttf	14580	13071	1471	4261	7510	4384	6407	13070	10821	5401	13060
4119636	HarmonyOS Sans TC	ttf	*港台繁体/华为鸿蒙 HarmonyOS_Sans_TC_Regular.ttf	14596	13079	1507	4263	7512	4386	6408	13077	10825	5401	13060
14675776	原俠正楷	ttf	*港台繁体/原俠正楷 GuanKiapTsingKhai.ttf	22588	18085	4489	6500	10668	6763	6866	15534	10312	5401	10161
20659408	Taipei Sans TC Beta Regular	ttf	*港台繁体/台北黑體 TaipeiSansTCBeta-Regular.ttf	32763	30156	2607	6500	10666	6763	6866	21002	13419	5401	13060
20967628	MOESongUN	ttf	*港台繁体/國字宋體 eduSong_Unicode v2024.12.ttf	25527	24353	938	4739	8360	4910	6791	18240	13291	5401	13059
15820500	教育部标准楷书	ttf	*港台繁体/國字楷書 edukai-5.0.ttf	14070	13094	966	4270	7519	4393	6416	13089	10831	5401	13059
4010816	MiSans TC	ttf	*港台繁体/小米 MisansTC-Regular.ttf	14911	13079	1832	4263	7512	4386	6408	13077	10825	5401	13060
24520796	Chiron Sung HK	ttf	*港台繁体/昭源宋體 ChironSungHK-R.ttf	46974	32039	14935	6500	10666	6763	6866	21003	13594	5401	13060
