Author	Type	Font	URL	Language	Related
句读生态	黑体	Judou Sans (句读黑体)	https://github.com/JudouEco/JudouSans	中日韩文	更纱黑体、思源黑体、FiraGO
吳聰敏/吳聰慧	【多种】	cwTeX字体修正版 (台湾明体)	https://github.com/l10n-tw/cwtex-q-fonts	繁體中文	
国学大师网	宋体	开心宋体	https://www.guoxuedashi.net/zidian/bujian/KaiXinSong.php	中文	
天珩全字库	【多种】	TH-Tshyn (天珩全字库)	http://cheonhyeong.com/Simplified/download.html	中文等多种字型混杂	
天码输入法	宋体	超集宋体	http://soongsky.com/sky/download.php	中文	
孙海峰等	宋体	UniFonts（海峰超大字符集，含Sun-ExtA、Sun-ExtB）	http://okuc.net/SoftWare/UniFonts6.0.exe	中文	
康熙与倉頡（阿勤）	宋体	康熙字典體	https://www.chinesecj.com/forum/forum.php?mod=viewthread&tid=195626.php	中文	
摇醒实验室	黑体	摇醒青年黑	http://www.tankmedia.com.cn/wp/portfolio-item/yxqnfontdesign/	中文	
昭源字體	黑体	Chiron Hei HK (昭源黑體)	https://github.com/chiron-fonts/chiron-hei-hk	繁體中文（香港）	
昭源字體	黑体	Chiron Sung HK (昭源宋體)	https://github.com/chiron-fonts/chiron-sung-hk	繁體中文（香港）	
未知来信	宋体	又又意宋	https://www.zcool.com.cn/work/ZNjc1OTQ3NjQ=.html	中文(GB 2312)	
汉唐文化	【美术字】	上海摩登体	https://www.shanghaimodeng.com/	中文	
狼人小林	【点阵】	Ark Pixel Font (方舟像素字体)	https://github.com/TakWolf/ark-pixel-font	中日韩文	
狼人小林	【点阵】	Fusion Pixel Font (缝合像素字体)	https://github.com/TakWolf/fusion-pixel-font	中日韩文	
猫啃网	【美术字】	LongZhuTi (标小智龙珠体)	https://github.com/maoken-fonts/LongZhuTi	中文	RocknRoll One
猴尊	宋体	猴尊宋体	https://mp.weixin.qq.com/s/YJfNGKmOW0fuen1W7WnL5w	中文	
王廷瑞（TerryWang/特里王）	【多种】	匯文系列	https://zhuanlan.zhihu.com/p/12669052378	中文	
王廷瑞（TerryWang/特里王）	宋体	京華老宋体	https://zhuanlan.zhihu.com/p/677725322	中文	
王廷瑞（TerryWang/特里王）	宋体/黑体	源古黑體/宋體	https://zhuanlan.zhihu.com/p/1897044158293717296	中文	
白雲深處人家	宋体	Windows 系统宋体升级包	http://www.homeinmists.com/Unicode15Song.zip	中文	
