name	format	file	total	cjk	pua	extra	CJK Basic	CJK Ext-A	CJK Ext-B	CJK Ext-C	CJK Ext-D	CJK Ext-E	CJK Ext-F	CJK Ext-G	CJK Ext-H	CJK Ext-I	CJK Comp	PUA-BMP	PUA-SMP1	PUA-SMP2
方正粗圆_GBK	ttf	方正/圆体/方正粗圆_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正细圆_GBK	ttf	方正/圆体/方正细圆_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正书宋_GBK	ttf	方正/方正书宋/方正书宋_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正书宋简体	ttf	方正/方正书宋/方正书宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正书宋繁体	ttf	方正/方正书宋/方正书宋繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正仿宋_GBK	ttf	方正/方正仿宋/方正仿宋_GBK.ttf	21999	20923	105	971	20902	0	0	0	0	0	0	0	0	0	21	105	0	0
方正仿宋简体	ttf	方正/方正仿宋/方正仿宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正仿宋繁体	ttf	方正/方正仿宋/方正仿宋繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正兰亭刊宋_GBK	ttf	方正/方正兰亭/方正兰亭刊宋_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭刊黑_GBK	ttf	方正/方正兰亭/方正兰亭刊黑_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK	ttf	方正/方正兰亭/方正兰亭圆_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_中	ttf	方正/方正兰亭/方正兰亭圆_GBK_中.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_中粗	ttf	方正/方正兰亭/方正兰亭圆_GBK_中粗.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_准	ttf	方正/方正兰亭/方正兰亭圆_GBK_准.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_大	ttf	方正/方正兰亭/方正兰亭圆_GBK_大.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_特	ttf	方正/方正兰亭/方正兰亭圆_GBK_特.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_粗	ttf	方正/方正兰亭/方正兰亭圆_GBK_粗.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_纤	ttf	方正/方正兰亭/方正兰亭圆_GBK_纤.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭圆_GBK_细	ttf	方正/方正兰亭/方正兰亭圆_GBK_细.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭宋_GBK	ttf	方正/方正兰亭/方正兰亭宋_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭中粗黑_GBK	ttf	方正/方正兰亭黑/方正兰亭中粗黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭中黑_GBK	ttf	方正/方正兰亭黑/方正兰亭中黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭准黑_GBK	ttf	方正/方正兰亭黑/方正兰亭准黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭大黑_GBK	ttf	方正/方正兰亭黑/方正兰亭大黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭特黑_GBK	ttf	方正/方正兰亭黑/方正兰亭特黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭特黑扁_GBK	ttf	方正/方正兰亭黑/方正兰亭特黑扁_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭特黑长_GBK	ttf	方正/方正兰亭黑/方正兰亭特黑长_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭粗黑_GBK	ttf	方正/方正兰亭黑/方正兰亭粗黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭纤黑_GBK	ttf	方正/方正兰亭黑/方正兰亭纤黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭细黑_GBK	ttf	方正/方正兰亭黑/方正兰亭细黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭超细黑_GBK	ttf	方正/方正兰亭黑/方正兰亭超细黑_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭超细黑简体	ttf	方正/方正兰亭黑/方正兰亭超细黑简体.ttf	7696	6763	114	819	6763	0	0	0	0	0	0	0	0	0	0	114	0	0
方正兰亭黑	ttf	方正/方正兰亭黑/方正兰亭黑.ttf	48214	27505	121	20588	20902	6582	0	0	0	0	0	0	0	0	21	121	0	0
方正兰亭黑_GB18030	ttf	方正/方正兰亭黑/方正兰亭黑_GB18030.ttf	28530	27505	25	1000	20902	6582	0	0	0	0	0	0	0	0	21	25	0	0
方正兰亭黑_GBK	ttf	方正/方正兰亭黑/方正兰亭黑_GBK.ttf	22010	20923	106	981	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭黑扁_GBK	ttf	方正/方正兰亭黑/方正兰亭黑扁_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭黑长_GBK	ttf	方正/方正兰亭黑/方正兰亭黑长_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正兰亭黑Pro GBK Bold	ttf	方正/方正兰亭黑Pro/方正兰亭黑Pro GBK.ttf	22081	20975	106	1000	20902	52	0	0	0	0	0	0	0	0	21	106	0	0
